State,State_code,Year,State_Minimum_Wage,State_Minimum_Wage_2020_Dollars,Federal_Minimum_Wage,Federal_Minimum_Wage_2020_Dollars,Effective_Minimum_Wage,Effective_Minimum_Wage_2020_Dollars
Utah,UT,2019,7.25,7.34,7.25,7.34,7.25,7.34
Vermont,VT,2019,10.96,11.09,7.25,7.34,10.96,11.09
Virginia,VA,2019,7.25,7.34,7.25,7.34,7.25,7.34
Washington,WA,2019,13.5,13.66,7.25,7.34,13.5,13.66
West Virginia,WV,2019,8.75,8.85,7.25,7.34,8.75,8.85
Wisconsin,WI,2019,7.25,7.34,7.25,7.34,7.25,7.34
Wyoming,WY,2019,5.15,5.21,7.25,7.34,7.25,7.34
Alabama,AL,2020,0,0,7.25,7.25,7.25,7.25
Alaska,AK,2020,10.19,10.19,7.25,7.25,10.19,10.19
Arizona,AZ,2020,12,12,7.25,7.25,12,12
Arkansas,AR,2020,10,10,7.25,7.25,10,10
California,CA,2020,13,13,7.25,7.25,13,13
Colorado,CO,2020,12,12,7.25,7.25,12,12
Connecticut,CT,2020,11,11,7.25,7.25,11,11
Delaware,DE,2020,9.25,9.25,7.25,7.25,9.25,9.25
District of Columbia,DC,2020,14,14,7.25,7.25,14,14
Florida,FL,2020,8.56,8.56,7.25,7.25,8.56,8.56
Georgia,GA,2020,5.15,5.15,7.25,7.25,7.25,7.25
Guam,None,2020,8.25,8.25,7.25,7.25,8.25,8.25
Hawaii,HI,2020,10.1,10.1,7.25,7.25,10.1,10.1
Idaho,ID,2020,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,IL,2020,9.25,9.25,7.25,7.25,9.25,9.25
Indiana,IN,2020,7.25,7.25,7.25,7.25,7.25,7.25
Iowa,IA,2020,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,KS,2020,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,KY,2020,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,LA,2020,0,0,7.25,7.25,7.25,7.25
Maine,ME,2020,12,12,7.25,7.25,12,12
Maryland,MD,2020,11,11,7.25,7.25,11,11
Massachusetts,MA,2020,12.75,12.75,7.25,7.25,12.75,12.75
Michigan,MI,2020,9.65,9.65,7.25,7.25,9.65,9.65
Minnesota,MN,2020,8.15,8.15,7.25,7.25,8.15,8.15
Mississippi,MS,2020,0,0,7.25,7.25,7.25,7.25
Missouri,MO,2020,9.45,9.45,7.25,7.25,9.45,9.45
Montana,MT,2020,8.65,8.65,7.25,7.25,8.65,8.65
Nebraska,NE,2020,9,9,7.25,7.25,9,9
Nevada,NV,2020,7.25,7.25,7.25,7.25,7.25,7.25
New Hampshire,NH,2020,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,NJ,2020,11,11,7.25,7.25,11,11
New Mexico,NM,2020,9,9,7.25,7.25,9,9
New York,NY,2020,11.8,11.8,7.25,7.25,11.8,11.8
North Carolina,NC,2020,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,ND,2020,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,OH,2020,8.7,8.7,7.25,7.25,8.7,8.7
Oklahoma,OK,2020,2,2,7.25,7.25,7.25,7.25
Oregon,OR,2020,11.25,11.25,7.25,7.25,11.25,11.25
Pennsylvania,PA,2020,7.25,7.25,7.25,7.25,7.25,7.25
Puerto Rico,None,2020,5.08,5.08,7.25,7.25,7.25,7.25
Rhode Island,RI,2020,10.5,10.5,7.25,7.25,10.5,10.5
South Carolina,SC,2020,0,0,7.25,7.25,7.25,7.25
South Dakota,SD,2020,9.3,9.3,7.25,7.25,9.3,9.3
Tennessee,TN,2020,0,0,7.25,7.25,7.25,7.25
Texas,TX,2020,7.25,7.25,7.25,7.25,7.25,7.25
U.S. Virgin Islands,None,2020,10.5,10.5,7.25,7.25,10.5,10.5
Utah,UT,2020,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,VT,2020,10.96,10.96,7.25,7.25,10.96,10.96
Virginia,VA,2020,7.25,7.25,7.25,7.25,7.25,7.25
Washington,WA,2020,13.5,13.5,7.25,7.25,13.5,13.5
West Virginia,WV,2020,8.75,8.75,7.25,7.25,8.75,8.75
Wisconsin,WI,2020,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,WY,2020,5.15,5.15,7.25,7.25,7.25,7.25
